jenis_ikan_nama_latin,jenis_ikan,nama_latin,kode_fao,kelompok_sdi
Rajungan Angin - Podophthalmus Vigil,Rajungan Angin,Podophthalmus Vigil,ODV,Binatang Berkulit Keras
Rajungan Biasa - Portunus Pelagicus,Rajungan Biasa,Portunus Pelagicus,SCD,Binatang Berkulit Keras
Rajungan Biasa; Rajungan Bunga - Xiphonectes Hastatoides,Rajungan Biasa; Rajungan Bunga,Xiphonectes Hastatoides,,Binatang Berkulit Keras
Rajungan Bintang - Portunus Sanguinolentus,Rajungan Bintang,Portunus Sanguinolentus,UNG,Binatang Berkulit Keras
Rajungan Gazami - Portunus Trituberculatus,Rajungan Gazami,Portunus Trituberculatus,GAZ,Binatang Berkulit Keras
Rajungan Hijau - Thalamita Crenata,Rajungan Hijau,Thalamita Crenata,TLK,Binatang Berkulit Keras
Rajungan Salib - Charybdis Feriatus,Rajungan Salib,Charybdis Feriatus,KHF,binatang berkulit keras
Rangginan Bigscale - Myripristis Berndti,Rangginan Bigscale,Myripristis Berndti,YJW,Ikan Karang
Rangginan Blackspot - Sargocentron Melanospilos,Rangginan Blackspot,Sargocentron Melanospilos,,ikan karang
Rangginan Crown - Sargocentron Diadema,Rangginan Crown,Sargocentron Diadema,HWD,Ikan Karang
Rangginan Doubletooth - Myripristis Hexagona,Rangginan Doubletooth,Myripristis Hexagona,YKB,demersal
Rangginan Spotfin - Neoniphon Sammara,Rangginan Spotfin,Neoniphon Sammara,NHS,Ikan Karang
Rao'S Dartfish - Parioglossus Raoi,Rao'S Dartfish,Parioglossus Raoi,IEK,ikan karang
Redbarred Sandperch - Parapercis Multiplicata,Redbarred Sandperch,Parapercis Multiplicata,,ikan karang
Redspot Dartfish - Ptereleotris Rubristigma,Redspot Dartfish,Ptereleotris Rubristigma,,ikan karang
Rejung Berduri Tebal - Sillaginopodys Chondropus,Rejung Berduri Tebal,Sillaginopodys Chondropus,IIU,Demersal
Rejung Bersisik Lebar - Sillaginops Macrolepis,Rejung Bersisik Lebar,Sillaginops Macrolepis,,Demersal
Rejung Kepala Pipih - Sillaginopsis Panijus,Rejung Kepala Pipih,Sillaginopsis Panijus,SIJ,Demersal
Rejung Perak - Sillago Sihama,Rejung Perak,Sillago Sihama,ILS,Demersal
Rejung Trompet - Sillago Aeolus,Rejung Trompet,Sillago Aeolus,,Demersal
Remang - Congresox Talabon,Remang,Congresox Talabon,MCB,Demersal
Remang - Gymnothorax Spp,Remang,Gymnothorax Spp,AXZ,Demersal
Remang Nanas - Acanthocepola Krusensternii,Remang Nanas,Acanthocepola Krusensternii,DZC,Demersal
Remang Putih - Gymnothorax Undulatus,Remang Putih,Gymnothorax Undulatus,AMZ,Demersal
Remis - Meretrix Meretrix,Remis,Meretrix Meretrix,HCA,Binatang Lunak
Remis - Meritix Meritix,Remis,Meritix Meritix,,Binatang Lunak
Remis - Perna Canaliculus,Remis,Perna Canaliculus,MUZ,binatang lunak
Remora - Remora Albescens,Remora,Remora Albescens,RRL,demersal
Remora - Remora Australis,Remora,Remora Australis,,pelagis kecil
Remora - Remora Brachyptera,Remora,Remora Brachyptera,REY,pelagis kecil
Remora - Remora Remora,Remora,Remora Remora,REO,demersal
Rengganis - Pentaprion Longimanus,Rengganis,Pentaprion Longimanus,PJL,Demersal
Ringan; Mata Ulo - Psammoperca Waigiensis,Ringan; Mata Ulo,Psammoperca Waigiensis,PWG,Binatang Lunak
Ringed Toadfish - Omegophora Armilla,Ringed Toadfish,Omegophora Armilla,OFR,demersal
Roket Lempeng - Oxymetopon Cyanoctenosum,Roket Lempeng,Oxymetopon Cyanoctenosum,,ikan karang
Ruby Snapper - Plagiogeneion Rubiginosum,Ruby Snapper,Plagiogeneion Rubiginosum,RYG,demersal
Rumput Laut - Caulerpa Lentillifera,Rumput Laut,Caulerpa Lentillifera,KQE,tumbuhan air lainnya
Rumput Laut - Caulerpa Sertularioides,Rumput Laut,Caulerpa Sertularioides,KQT,tumbuhan air lainnya
Rumput Laut - Cymodocea Serrulata,Rumput Laut,Cymodocea Serrulata,,tumbuhan air lainnya
Rumput Laut - Euchema Denticulatum,Rumput Laut,Euchema Denticulatum,,tumbuhan air lainnya
Rumput Laut - Eucheuma Cottonii,Rumput Laut,Eucheuma Cottonii,EMC,Tanaman Air
Rumput Laut - Eucheuma Spinosum,Rumput Laut,Eucheuma Spinosum,,Tanaman Air
Rumput Laut - Gelidium Cartilagineum,Rumput Laut,Gelidium Cartilagineum,,tumbuhan air lainnya
Rumput Laut - Gelidium Corneum,Rumput Laut,Gelidium Corneum,GEQ,tumbuhan air lainnya
Rumput Laut - Gelidium Crinale,Rumput Laut,Gelidium Crinale,GJC,tumbuhan air lainnya
Rumput Laut - Gelidium Pannosum,Rumput Laut,Gelidium Pannosum,,tumbuhan air lainnya
Rumput Laut - Gelidium Pusilium,Rumput Laut,Gelidium Pusilium,,tumbuhan air lainnya
Rumput Laut - Gelidium Rigidum,Rumput Laut,Gelidium Rigidum,,tumbuhan air lainnya
Rumput Laut - Gracilaria Spp,Rumput Laut,Gracilaria Spp,GLS,Tanaman Air
Rumput Laut - Gracilariopsis Longissima,Rumput Laut,Gracilariopsis Longissima,GXO,tumbuhan air lainnya
Rumput Laut - Hydropuntia Edulis,Rumput Laut,Hydropuntia Edulis,GKI,tumbuhan air lainnya
Rumput Laut - Kappaphycus Striatum,Rumput Laut,Kappaphycus Striatum,,tumbuhan air lainnya
Rumput Laut - Portiteria Hornemannii,Rumput Laut,Portiteria Hornemannii,,tumbuhan air lainnya
Rumput Laut - Sargassum Aquofilum,Rumput Laut,Sargassum Aquofilum,,tumbuhan air lainnya
Rumput Laut - Sargassum Crassifolium,Rumput Laut,Sargassum Crassifolium,,tumbuhan air lainnya
Rumput Laut - Sargassum Duplicatum,Rumput Laut,Sargassum Duplicatum,,tumbuhan air lainnya
Rumput Laut - Sargassum Echinocarpum,Rumput Laut,Sargassum Echinocarpum,,tumbuhan air lainnya
Rumput Laut - Sargassum Gracillimun,Rumput Laut,Sargassum Gracillimun,,tumbuhan air lainnya
Rumput Laut - Sargassum Histrix,Rumput Laut,Sargassum Histrix,,tumbuhan air lainnya
Rumput Laut - Sargassum Macrophyllum,Rumput Laut,Sargassum Macrophyllum,,tumbuhan air lainnya
Rumput Laut - Sargassum Obtusifolium,Rumput Laut,Sargassum Obtusifolium,FIR,tumbuhan air lainnya
Rumput Laut - Sargassum Policystum,Rumput Laut,Sargassum Policystum,,tumbuhan air lainnya
Rumput Laut - Sargassum Polyceratium,Rumput Laut,Sargassum Polyceratium,,tumbuhan air lainnya
Rumput Laut - Sargassum Spp,Rumput Laut,Sargassum Spp,QWX,Tanaman Air
Rumput Laut - Sargassum Vulgare,Rumput Laut,Sargassum Vulgare,RGV,tumbuhan air lainnya
Rumput Laut - Turbinaria Frondens,Rumput Laut,Turbinaria Frondens,,tumbuhan air lainnya
Rumput Laut - Ulva Lactuca,Rumput Laut,Ulva Lactuca,UVU,tumbuhan air lainnya
Rumput Laut Acanthophora Spicifera - Acanthophora Spicifera,Rumput Laut Acanthophora Spicifera,Acanthophora Spicifera,KHI,Tanaman Air
Rumput Laut Alga Merah - Gelidium Amansii,Rumput Laut Alga Merah,Gelidium Amansii,GDY,tumbuhan air lainnya
Rumput Laut Boeloeng - Gracilaria Salicornia,Rumput Laut Boeloeng,Gracilaria Salicornia,GKK,tumbuhan air lainnya
Rumput Laut Kotoni - Kappaphycus Alvarezii,Rumput Laut Kotoni,Kappaphycus Alvarezii,EMA,tumbuhan air lainnya
Rumput Laut Merah - Hypnea Musciformis,Rumput Laut Merah,Hypnea Musciformis,YNF,tumbuhan air lainnya
Rumput Laut Sargassum Muticum - Sargassum Muticum,Rumput Laut Sargassum Muticum,Sargassum Muticum,GVS,Tanaman Air
Rumput Rantai - Halimeda Opuntia,Rumput Rantai,Halimeda Opuntia,,tumbuhan air lainnya
Salmon Bungkuk - Oncorhynchus Gorbuscha,Salmon Bungkuk,Oncorhynchus Gorbuscha,PIN,pelagis
Salmon Chum - Oncorhynchus Keta,Salmon Chum,Oncorhynchus Keta,CHU,pelagis
Samgeh - Coelorinchus spinifer,Samgeh,Coelorinchus spinifer,,
Samoan Pipefish - Halicampus Mataafae,Samoan Pipefish,Halicampus Mataafae,,ikan karang
Samurai Squirrelfish - Sargocentron Ittodai,Samurai Squirrelfish,Sargocentron Ittodai,,ikan karang
Sangko - Thryssa Mystax,Sangko,Thryssa Mystax,EYY,pelagis kecil
Sarden - Chirocentru Dorab,Sarden,Chirocentru Dorab,,pelagis kecil
Sarden - Clupea Harengus,Sarden,Clupea Harengus,HER,pelagis kecil
Sarden - Clupea Pallasii Pallasii,Sarden,Clupea Pallasii Pallasii,,pelagis kecil
Sarden - Dussumeria Elopsoides,Sarden,Dussumeria Elopsoides,,pelagis kecil
Sarden - Herklotsichthys Dispilonotus,Sarden,Herklotsichthys Dispilonotus,HKD,pelagis kecil
Sarden - Opisthopterus Tardoore,Sarden,Opisthopterus Tardoore,PHT,pelagis kecil
Sarden - Spratelloides Delicatulus,Sarden,Spratelloides Delicatulus,SPD,pelagis kecil
Sarden European Pilchard - Sardina Pilchardus,Sarden European Pilchard,Sardina Pilchardus,PIL,Pelagis Besar
Sarden Jepang - Sardinella Zunasi,Sarden Jepang,Sardinella Zunasi,JSS,pelagis kecil
Schultz'S Pipefish - Corythoichthys Schultzi,Schultz'S Pipefish,Corythoichthys Schultzi,,ikan karang
Sculptured Pipefish - Choeroichthys Sculptus,Sculptured Pipefish,Choeroichthys Sculptus,,ikan karang
Sebelah - Arnoglossus Macrolophus,Sebelah,Arnoglossus Macrolophus,,demersal
Sebelah - Asterorhombus Intermedius,Sebelah,Asterorhombus Intermedius,,ikan karang
Sebelah - Grammatobothus Polyophthalmus,Sebelah,Grammatobothus Polyophthalmus,GRH,demersal
Sebelah - Psettina Brevirictis,Sebelah,Psettina Brevirictis,BSV,demersal
Sebelah - Psettina Gigantea,Sebelah,Psettina Gigantea,,demersal
Sebelah - Pseudorhombus Argus,Sebelah,Pseudorhombus Argus,,demersal
Sebelah - Pseudorhombus Elevatus,Sebelah,Pseudorhombus Elevatus,UHE,demersal
Sebelah - Pseudorhombus Megalops,Sebelah,Pseudorhombus Megalops,,demersal
Sebelah - Pseudorhombus Quinquocellatus,Sebelah,Pseudorhombus Quinquocellatus,,demersal
Sebelah - Soleichthys Heterorhinos,Sebelah,Soleichthys Heterorhinos,,demersal
Sebelah Bundar - Bothus Pantherinus,Sebelah Bundar,Bothus Pantherinus,OUN,demersal
Sebelah Jepang - Paralichthys Olivaceus,Sebelah Jepang,Paralichthys Olivaceus,BAH,demersal
Sebelah Samegarei - Clidoderma Asperrimum,Sebelah Samegarei,Clidoderma Asperrimum,CDJ,demersal
Sebelah; Terabis - Pseudorhombus Diplospilus,Sebelah; Terabis,Pseudorhombus Diplospilus,QYM,Demersal
Sebelah; Terabis - Pseudorhombus Malayanus,Sebelah; Terabis,Pseudorhombus Malayanus,UHG,Demersal
Selanget - Anodontostoma Chacunda,Selanget,Anodontostoma Chacunda,CHG,Pelagis Kecil
Selanget Berambut - Nematalosa Come,Selanget Berambut,Nematalosa Come,NCO,Pelagis Kecil
Selanget Kelee - Hilsa Kelee,Selanget Kelee,Hilsa Kelee,HIX,Pelagis Kecil
Selar Batang - Alepes Kleinii,Selar Batang,Alepes Kleinii,JWY,Pelagis Kecil
Selar Bengol - Selar Boops,Selar Bengol,Selar Boops,LRO,Pelagis Kecil
Selar Bentong - Selar Crumenophthalmus,Selar Bentong,Selar Crumenophthalmus,BIS,Pelagis Kecil
Selar Bulat - Alepes Djedaba,Selar Bulat,Alepes Djedaba,LSJ,Pelagis Kecil
Selar Como - Atule Mate,Selar Como,Atule Mate,TUM,Pelagis Kecil
Selar Kuning - Selaroides Leptolepis,Selar Kuning,Selaroides Leptolepis,TRY,Pelagis Kecil
Selar Mulut Kapas - Uraspis Secunda,Selar Mulut Kapas,Uraspis Secunda,USE,Demersal
Selar Papan - Alepes Vari,Selar Papan,Alepes Vari,LSV,Pelagis Kecil
Selar Pilot - Naucrates Ductor,Selar Pilot,Naucrates Ductor,NAU,ikan karang
Selar Ubur-Ubur - Alepes Melanoptera,Selar Ubur-Ubur,Alepes Melanoptera,LSN,Pelagis Kecil
Semah; Kancra - Tor Soro,Semah; Kancra,Tor Soro,,Ikan Air Tawar
Semar - Mene Maculata,Semar,Mene Maculata,MOO,Demersal
Sembilang Abu-Abu - Plotosus Canius,Sembilang Abu-Abu,Plotosus Canius,PUN,Demersal
Sembilang Karang - Plotosus Lineatus,Sembilang Karang,Plotosus Lineatus,PII,Ikan Karang
Senangin - Polydactylus Microstoma,Senangin,Polydactylus Microstoma,QSQ,demersal
Senangin Bergaris - Polydactylus Plebeius,Senangin Bergaris,Polydactylus Plebeius,ODS,Demersal
Senangin Bintik Hitam - Polydactylus Sextarius,Senangin Bintik Hitam,Polydactylus Sextarius,OAX,Demersal
Senangin Empat Surai - Eleutheronema Tetradactylum,Senangin Empat Surai,Eleutheronema Tetradactylum,FOT,Demersal
Senangin Mulut Kecil - Polydactylus Microstomus,Senangin Mulut Kecil,Polydactylus Microstomus,QSQ,Demersal
Senangin Raja - Polydactylus Macrochir,Senangin Raja,Polydactylus Macrochir,QSH,Demersal
Senangin Striped - Polydactylus Plebius,Senangin Striped,Polydactylus Plebius,,demersal
Senuk - Centropomus undecimalis,Senuk,Centropomus undecimalis,,Demersal
Serinding - Apogonichthyoides Melas,Serinding,Apogonichthyoides Melas,FER,Ikan Karang
Serinding - Archamia Fucata,Serinding,Archamia Fucata,QLY,Ikan Karang
Serinding - Rhabdamia Spilota,Serinding,Rhabdamia Spilota,,ikan karang
Serinding - Taeniamia Fucata,Serinding,Taeniamia Fucata,QLY,demersal
Serinding Tanda - Archamia Bleekeri,Serinding Tanda,Archamia Bleekeri,,Ikan Karang
Setuhuk Biru - Makaira Nigricans,Setuhuk Biru,Makaira Nigricans,BUM,Pelagis Besar
Setuhuk Biru Indo-Pasifik - Makaira Mazara,Setuhuk Biru Indo-Pasifik,Makaira Mazara,BLZ,Pelagis Besar
Setuhuk Hitam - Istiompax Indica,Setuhuk Hitam,Istiompax Indica,BLM,Pelagis Besar
Setuhuk Lain - Makaira Spp,Setuhuk Lain,Makaira Spp,BXQ,Pelagis Besar
Setuhuk Loreng - Kajikia Audax,Setuhuk Loreng,Kajikia Audax,MLS,Pelagis Besar
Shark - Carcharhinus Signatus,Shark,Carcharhinus Signatus,CCS,pelagis besar
Shark - Galeorhinus Galeus,Shark,Galeorhinus Galeus,GAG,pelagis besar
Shark - Glyphis Gangeticus,Shark,Glyphis Gangeticus,CGA,pelagis besar
Shark - Glyphis Glyphis,Shark,Glyphis Glyphis,CGG,pelagis besar
Short-Bodied Pipefish - Choeroichthys Brachysoma,Short-Bodied Pipefish,Choeroichthys Brachysoma,CBJ,ikan karang
Shortnose Pipefish - Micrognathus Andersonii,Shortnose Pipefish,Micrognathus Andersonii,MID,ikan karang
Sidat - Anguilla Anguilla,Sidat,Anguilla Anguilla,ELE,binatang air lainnya
Sidat - Anguilla Interioris,Sidat,Anguilla Interioris,,0
Sidat - Anguilla Reinhardtii,Sidat,Anguilla Reinhardtii,AAR,binatang air lainnya
Sidat - Muraenesox Spp,Sidat,Muraenesox Spp,,demersal
Sidat - Muraenosox Bagio,Sidat,Muraenosox Bagio,,demersal
Sidat Anjing - Anguilla Bicolor,Sidat Anjing,Anguilla Bicolor,AAT,Pelagis Kecil
Sidat Jenggot Kambing - Brotula Multibarbata,Sidat Jenggot Kambing,Brotula Multibarbata,WBM,binatang air lainnya
Sidat Kembang - Anguilla Marmorata,Sidat Kembang,Anguilla Marmorata,AAL,binatang air lainnya
Sidat Menguling - Anguilla Celebesensis,Sidat Menguling,Anguilla Celebesensis,,0
Silver Driftfish - Psenes Maculatus,Silver Driftfish,Psenes Maculatus,,mesopelagic
Simping - Amusium Pleuronectes,Simping,Amusium Pleuronectes,UMP,Binatang Lunak
Simping - Common Windowpen,Simping,Common Windowpen,,binatang lunak
Sinangih - Filimanus Perplexa,Sinangih,Filimanus Perplexa,QRS,Demersal
Siput - Amphidromus Javanicus,Siput,Amphidromus Javanicus,ZIW,Demersal
Siput - Cerithium Nodulosum,Siput,Cerithium Nodulosum,KEN,binatang lunak
Siput - Chromodoris Elisabethina,Siput,Chromodoris Elisabethina,,binatang lunak
Siput - Laevistrombus Canarium,Siput,Laevistrombus Canarium,QSN,Demersal
Siput - Strombus Variabilis,Siput,Strombus Variabilis,,binatang lunak
Siput - Turbo Imperialis,Siput,Turbo Imperialis,,binatang lunak
Siput - Turbo Phitolatus,Siput,Turbo Phitolatus,,binatang lunak
Siput Cone - Conus Marmoratus,Siput Cone,Conus Marmoratus,,binatang lunak
Siput Hemifusus - Hemifusus Swainson,Siput Hemifusus,Hemifusus Swainson,,binatang lunak
Siput Hidup - Clithon Sowerbianus,Siput Hidup,Clithon Sowerbianus,,binatang lunak
Siput Hijau - Aplysia Ornata,Siput Hijau,Aplysia Ornata,,binatang lunak
Siput Hisap - Cerithidea Obtusa,Siput Hisap,Cerithidea Obtusa,KHO,binatang lunak
Siput Kelinci - Dolabella Auricularia,Siput Kelinci,Dolabella Auricularia,DBU,binatang lunak
Siput Kelinci Totol Biru - Bursatella Leachii,Siput Kelinci Totol Biru,Bursatella Leachii,,binatang lunak
Siput Laut - Angaria Delphinus,Siput Laut,Angaria Delphinus,,binatang lunak
Siput Laut - Cerithium Scabridum,Siput Laut,Cerithium Scabridum,,binatang lunak
Siput Lola - Tectus Niloticus,Siput Lola,Tectus Niloticus,,binatang lunak
Siput Mentarang - Pholas Orientalis,Siput Mentarang,Pholas Orientalis,FOO,binatang lunak
Siput Opperculum - Murexning Operculumitus,Siput Opperculum,Murexning Operculumitus,,binatang lunak
Siput Terbang - Hexabranchus Sanguineus,Siput Terbang,Hexabranchus Sanguineus,,binatang lunak
Siput Ternate - Brunneifusus Ternatanus,Siput Ternate,Brunneifusus Ternatanus,UGT,binatang lunak
Siput Unam - Murex Ternispina,Siput Unam,Murex Ternispina,UXT,binatang lunak
Siro - Amblygaster Sirm,Siro,Amblygaster Sirm,AGS,Pelagis Kecil
Siro Biru - Amblygaster Leogaster,Siro Biru,Amblygaster Leogaster,AGL,Pelagis Kecil
Siro Perut Halus - Amblygaster Clupeoides,Siro Perut Halus,Amblygaster Clupeoides,AGC,Pelagis Kecil
Sisik Batu Jepang - Ostichthys Japonicus,Sisik Batu Jepang,Ostichthys Japonicus,HWJ,Demersal
Slengseng - Scomber Australasicus,Slengseng,Scomber Australasicus,MAA,Pelagis Besar
Slengseng - Scomber Scombrus,Slengseng,Scomber Scombrus,MAC,Pelagis Besar
Snail - Cymbiola Swainson,Snail,Cymbiola Swainson,,binatang lunak
Sotong - Pharaoh Cuttlefish,Sotong,Pharaoh Cuttlefish,,binatang lunak
Sotong - Sepia Officinalis,Sotong,Sepia Officinalis,CTC,Binatang Lunak
Sotong - Sepia Spp,Sotong,Sepia Spp,IAX,Binatang Lunak
Sotong Blekutak - Sepiella Inermis,Sotong Blekutak,Sepiella Inermis,ILR,Binatang Lunak
Sotong Duri - Sepia Recurvirostra,Sotong Duri,Sepia Recurvirostra,IAE,Binatang Lunak
Sotong Emas - Sepia Esculenta,Sotong Emas,Sepia Esculenta,EJK,Binatang Lunak
Sotong Firon - Sepia Pharaonis,Sotong Firon,Sepia Pharaonis,IAH,Binatang Lunak
Sotong Jarum - Sepia Aculeata,Sotong Jarum,Sepia Aculeata,EJA,Binatang Lunak
Spined Pipefish - Phoxocampus Diacanthus,Spined Pipefish,Phoxocampus Diacanthus,,ikan karang
Spiral Melongena - Pugilina Cochlidium,Spiral Melongena,Pugilina Cochlidium,,binatang lunak
Spons Acanthella Cavernosa - Acanthella Cavernosa,Spons Acanthella Cavernosa,Acanthella Cavernosa,,ikan karang
Straightstick Pipefish - Trachyrhamphus Longirostris,Straightstick Pipefish,Trachyrhamphus Longirostris,,demersal
Sunglir - Elagatis Bipinnulata,Sunglir,Elagatis Bipinnulata,RRU,Pelagis Kecil
Swanggi - Myripristis Adusta,Swanggi,Myripristis Adusta,,ikan karang
Swanggi Ambon - Priacanthus Blochii,Swanggi Ambon,Priacanthus Blochii,QDC,Demersal
Swanggi Bintik Ungu - Priacanthus Tayenus,Swanggi Bintik Ungu,Priacanthus Tayenus,PQY,Demersal
Swanggi Ekor Bulan - Priacanthus Hamrur,Swanggi Ekor Bulan,Priacanthus Hamrur,BWH,Demersal
Swanggi Panah - Priacanthus Sagittarius,Swanggi Panah,Priacanthus Sagittarius,,Demersal
Swanggi Sirip Panjang - Cookeolus Japonicus,Swanggi Sirip Panjang,Cookeolus Japonicus,CJN,Ikan Karang
Swanggi Tembakau - Priacanthus Macracanthus,Swanggi Tembakau,Priacanthus Macracanthus,BIR,Demersal
Swangi Batu - Sargocentron Praslin,Swangi Batu,Sargocentron Praslin,,ikan karang
Swangi Batu - Sargocentron Rubrum,Swangi Batu,Sargocentron Rubrum,HWH,ikan karang
Takifugu Basilevskianus - Takifugu Basilevskianus,Takifugu Basilevskianus,Takifugu Basilevskianus,,demersal
Talang Daun Bambu - Scomberoides Tol,Talang Daun Bambu,Scomberoides Tol,OBJ,Pelagis Kecil
Talang Talang - Scomberoides Tala,Talang Talang,Scomberoides Tala,OBT,Pelagis Kecil
Talang Talang Besar - Scomberoides Commersonnianus,Talang Talang Besar,Scomberoides Commersonnianus,OBM,Pelagis Kecil
Talang Talang Lysan - Scomberoides Lysan,Talang Talang Lysan,Scomberoides Lysan,OBY,Ikan Karang
Tanda-Tanda Pasir - Lutjanus Biguttatus,Tanda-Tanda Pasir,Lutjanus Biguttatus,,Ikan Karang
Tapestry Turban - Turbo Petholatus,Tapestry Turban,Turbo Petholatus,UBE,binatang lunak
Tasselfin Longfin - Plesiops Thysanopterus,Tasselfin Longfin,Plesiops Thysanopterus,,ikan karang
Telur Ikan Terbang - Tobiko Tobiko,Telur Ikan Terbang,Tobiko Tobiko,,Pelagis Kecil
Tembang Fimbriata - Sardinella Fimbriata,Tembang Fimbriata,Sardinella Fimbriata,FRS,Pelagis Kecil
Tembang Garis Kuning - Sardinella Gibbosa,Tembang Garis Kuning,Sardinella Gibbosa,SAG,Pelagis Kecil
Tembang Putih - Sardinella Albella,Tembang Putih,Sardinella Albella,SDB,Pelagis Kecil
Tembang Serisih - Sardinella Brachysoma,Tembang Serisih,Sardinella Brachysoma,SDY,Pelagis Kecil
Tembang Torakata - Escualosa Thoracata,Tembang Torakata,Escualosa Thoracata,EST,Demersal
Temilok - Bactronophorus Thoracites,Temilok,Bactronophorus Thoracites,BCQ,binatang lunak
Tempel - Echeneis Naucrates,Tempel,Echeneis Naucrates,EHN,Ikan Karang
Tenggiri - Scomberomorus Commerson,Tenggiri,Scomberomorus Commerson,COM,Pelagis Besar
Tenggiri Batang - Scomberomorus Lineolatus,Tenggiri Batang,Scomberomorus Lineolatus,STS,Pelagis Besar
Tenggiri Bunga - Scomberomorus Koreanus,Tenggiri Bunga,Scomberomorus Koreanus,KOS,pelagis besar
Tenggiri Papan - Scomberomorus Guttatus,Tenggiri Papan,Scomberomorus Guttatus,GUT,Pelagis Besar
Tenggiri Papua - Scomberomorus Multiradiatus,Tenggiri Papua,Scomberomorus Multiradiatus,PAP,pelagis besar
Terabis Bulat - Pseudorhombus Triocellatus,Terabis Bulat,Pseudorhombus Triocellatus,UHT,Demersal
Terbang - Cheilopogon Cyanopterus,Terbang,Cheilopogon Cyanopterus,EFZ,pelagis kecil
Terbang - Cheilopogon Intermedius,Terbang,Cheilopogon Intermedius,,pelagis kecil
Terbang - Cheilopogon Spilopterus,Terbang,Cheilopogon Spilopterus,ECS,pelagis kecil
Terbang - Cypselurus Bilineatus,Terbang,Cypselurus Bilineatus,,pelagis kecil
Terbang - Cypselurus Naresii,Terbang,Cypselurus Naresii,,pelagis kecil
Terbang - Parexocoetus Mento,Terbang,Parexocoetus Mento,KSW,pelagis kecil
Terbang; Torani - Cheilopogon Arcticeps,Terbang; Torani,Cheilopogon Arcticeps,FKQ,Pelagis Kecil
Terbang; Torani - Cypselurus Angusticeps,Terbang; Torani,Cypselurus Angusticeps,FPM,Pelagis Kecil
Teri - Encrasicholina Spp,Teri,Encrasicholina Spp,,Pelagis Kecil
Teri - Stolephorus Indicus,Teri,Stolephorus Indicus,ESI,Pelagis Kecil
Teri - Thryssa Dussumieri,Teri,Thryssa Dussumieri,EYD,pelagis kecil
Teri Ambon - Stolephorus Commersonii,Teri Ambon,Stolephorus Commersonii,,pelagis kecil
Teri Baelama - Thryssa Baelama,Teri Baelama,Thryssa Baelama,EYB,Pelagis Kecil
Teri Gepeng - Stolephorus Commersonnii,Teri Gepeng,Stolephorus Commersonnii,ESR,Pelagis Kecil
Teri Gepeng - Stolephorus Waitei,Teri Gepeng,Stolephorus Waitei,ESW,Pelagis Kecil
Teri Jengki - Stolephorus Insularis,Teri Jengki,Stolephorus Insularis,ESN,Pelagis Kecil
Teri Kepala Batu - Atherinomorus Lacunosus,Teri Kepala Batu,Atherinomorus Lacunosus,FCW,Pelagis Kecil
Teri Kuning - Symphysanodon Katayamai,Teri Kuning,Symphysanodon Katayamai,VVJ,Pelagis Kecil
Teri Merah - Symphysanodon Typus,Teri Merah,Symphysanodon Typus,,pelagis kecil
Teri Merek - Atherinomorus Duodecimalis,Teri Merek,Atherinomorus Duodecimalis,,Pelagis Kecil
Teri Nasi Ainama - Encrasicholina Heteroloba,Teri Nasi Ainama,Encrasicholina Heteroloba,ECT,Pelagis Kecil
Teri Nasi Devisi - Encrasicholina Devisi,Teri Nasi Devisi,Encrasicholina Devisi,END,Pelagis Kecil
Teri Nasi Gacer - Encrasicholina Punctifer,Teri Nasi Gacer,Encrasicholina Punctifer,STL,Pelagis Kecil
Teri Samoan - Hypoatherina Temminckii,Teri Samoan,Hypoatherina Temminckii,FQB,Pelagis Kecil
Teri Wakasagisurf - Hypomesus Pretiosus,Teri Wakasagisurf,Hypomesus Pretiosus,SUS,demersal
Teripang - Holothuria Spp,Teripang,Holothuria Spp,WBX,Binatang Air Lainnya
Teripang - Holothuria Whitmaei,Teripang,Holothuria Whitmaei,JDG,lainnya
Teripang Apel Laut - Pseudocolochirus Tricolor,Teripang Apel Laut,Pseudocolochirus Tricolor,,binatang air lainnya
Teripang Batik - Holothuria Notabilis,Teripang Batik,Holothuria Notabilis,JCW,Demersal
Teripang Batu Batik - Actinopyga Mauritiana,Teripang Batu Batik,Actinopyga Mauritiana,KUY,Binatang Air Lainnya
Teripang Batu Keling - Actinopyga Echinites,Teripang Batu Keling,Actinopyga Echinites,KUE,Binatang Air Lainnya
Teripang Bercak Coklat - Bohadschia Similis,Teripang Bercak Coklat,Bohadschia Similis,BDX,Demersal
Teripang Coklat Titik Merah - Holothuria Flavomaculata,Teripang Coklat Titik Merah,Holothuria Flavomaculata,JCI,binatang lunak
Teripang Darah - Holothuria Atra,Teripang Darah,Holothuria Atra,HFA,Binatang Air Lainnya
Teripang Ekor Macan - Holothuria Hilla,Teripang Ekor Macan,Holothuria Hilla,JCK,Binatang Air Lainnya
Teripang Fuscus - Isostichopus Fuscus,Teripang Fuscus,Isostichopus Fuscus,JCF,binatang air lainnya
Teripang Gamma - Stichopus Variegatus,Teripang Gamma,Stichopus Variegatus,JCV,Binatang Air Lainnya
Teripang Getah Hitam - Holothuria Vagabunda,Teripang Getah Hitam,Holothuria Vagabunda,HFQ,Demersal
Teripang Getah Putih - Bohadschia Marmorata,Teripang Getah Putih,Bohadschia Marmorata,KUH,binatang air lainnya
Teripang Grisea - Opheodesoma Grisea,Teripang Grisea,Opheodesoma Grisea,,Demersal
