jenis_ikan_nama_latin,jenis_ikan,nama_latin,kode_fao,kelompok_sdi
Kuwe Batu - Seriola Dumerili,Kuwe Batu,Seriola Dumerili,AMB,Demersal
Kuwe Batu Kuning - Seriola Rivoliana,Kuwe Batu Kuning,Seriola Rivoliana,YTL,Demersal
Kuwe Bawang - Turrum Coeruleopinnatum,Kuwe Bawang,Turrum Coeruleopinnatum,NGC,Demersal
Kuwe Bayangan - Carangichthys Dinema,Kuwe Bayangan,Carangichthys Dinema,NGD,Demersal
Kuwe Bibir Tebal - Carangoides Orthogrammus,Kuwe Bibir Tebal,Carangoides Orthogrammus,NGT,Demersal
Kuwe Bibir Tebal - Ferdauia Orthogrammus,Kuwe Bibir Tebal,Ferdauia Orthogrammus,NGT,Demersal
Kuwe Bintik - Trachinotus Baillonii,Kuwe Bintik,Trachinotus Baillonii,TBA,Demersal
Kuwe Bobara - Caranx Ignobilis,Kuwe Bobara,Caranx Ignobilis,NXI,Demersal
Kuwe Datu - Seriolina Nigrofasciata,Kuwe Datu,Seriolina Nigrofasciata,RNJ,Ikan Karang
Kuwe Ekor Kuning - Caranx Heberi,Kuwe Ekor Kuning,Caranx Heberi,NXH,Demersal
Kuwe Hidung Benjol - Atropus Hedlandensis,Kuwe Hidung Benjol,Atropus Hedlandensis,NGE,Demersal
Kuwe Lilin - Carangoides Gymnostethus,Kuwe Lilin,Carangoides Gymnostethus,NGY,Demersal
Kuwe Lilin - Turrum Gymnostethus,Kuwe Lilin,Turrum Gymnostethus,NGY,Demersal
Kuwe Lilin Tile - Caranx Tille,Kuwe Lilin Tile,Caranx Tille,NXT,Demersal
Kuwe Macan - Carangoides Fulvoguttatus,Kuwe Macan,Carangoides Fulvoguttatus,NGU,Demersal
Kuwe Macan - Turrum Fulvoguttatum,Kuwe Macan,Turrum Fulvoguttatum,NGU,Demersal
Kuwe Malabar - Platycaranx Malabaricus,Kuwe Malabar,Platycaranx Malabaricus,NGS,Demersal
Kuwe Mangali - Gnathanodon Speciosus,Kuwe Mangali,Gnathanodon Speciosus,GLT,Ikan Karang
Kuwe Mata Besar - Caranx Sexfasciatus,Kuwe Mata Besar,Caranx Sexfasciatus,CXS,Demersal
Kuwe Moncong - Platycaranx Chrysophrys,Kuwe Moncong,Platycaranx Chrysophrys,NGH,Demersal
Kuwe Moncong Bulat - Ferdauia Ferdau,Kuwe Moncong Bulat,Ferdauia Ferdau,CRF,Demersal
Kuwe Mulut Putih - Uraspis Uraspis,Kuwe Mulut Putih,Uraspis Uraspis,URU,Pelagis Kecil
Kuwe Oblong - Carangoides Oblongus,Kuwe Oblong,Carangoides Oblongus,NGO,Demersal
Kuwe Papua - Caranx Papuensis,Kuwe Papua,Caranx Papuensis,NXP,Demersal
Kuwe Pectoralf Sabit - Carangoides Platiotaenia,Kuwe Pectoralf Sabit,Carangoides Platiotaenia,,ikan karang
Kuwe Pektoral Sabit - Craterognathus Plagiotaenia,Kuwe Pektoral Sabit,Craterognathus Plagiotaenia,GSP,Demersal
Kuwe Pesek - Trachinotus Blochii,Kuwe Pesek,Trachinotus Blochii,POO,Demersal
Kuwe Punggung Coklat - Carangoides Praeustus,Kuwe Punggung Coklat,Carangoides Praeustus,GSA,Demersal
Kuwe Raja Hitam - Caranx Lugubris,Kuwe Raja Hitam,Caranx Lugubris,NXU,Demersal
Kuwe Rambut Panjang - Alectis Ciliaris,Kuwe Rambut Panjang,Alectis Ciliaris,LIJ,Demersal
Kuwe Rambut Pendek - Alectis Indica,Kuwe Rambut Pendek,Alectis Indica,LTD,Demersal
Kuwe Ramping - Carangoides Spp,Kuwe Ramping,Carangoides Spp,NGX,Demersal
Kuwe Rombeh - Alectis Indicus,Kuwe Rombeh,Alectis Indicus,,ikan karang
Kuwe Sirip Biru - Caranx Melampygus,Kuwe Sirip Biru,Caranx Melampygus,NXM,Demersal
Kuwe Sirip Kuning - Kaiwarinus Equula,Kuwe Sirip Kuning,Kaiwarinus Equula,NGQ,Demersal
Kuwe Sirip Kuning - Seriola Nigrofasciatus,Kuwe Sirip Kuning,Seriola Nigrofasciatus,,Ikan Karang
Kuwe Tengguli - Caranx Sem,Kuwe Tengguli,Caranx Sem,,Demersal
Kuwe Tutul Biru - Caranx Bucculentus,Kuwe Tutul Biru,Caranx Bucculentus,CXT,Demersal
Kuwe Tutul Oranye - Flavocaranx Bajad,Kuwe Tutul Oranye,Flavocaranx Bajad,NGJ,Demersal
Lais - Phalacronotus Micronemus,Lais,Phalacronotus Micronemus,KTD,Demersal
Lambe Kepala Titik Putih - Cheilinus Oxycephalus,Lambe Kepala Titik Putih,Cheilinus Oxycephalus,,ikan karang
Layang - Decapterus Spp,Layang,Decapterus Spp,SDX,Pelagis Kecil
Layang Anggur - Decapterus Kurroides,Layang Anggur,Decapterus Kurroides,DCK,Pelagis Kecil
Layang Benggol - Decapterus Russelli,Layang Benggol,Decapterus Russelli,RUS,Pelagis Kecil
Layang Biru - Decapterus Macarellus,Layang Biru,Decapterus Macarellus,MSD,Pelagis Kecil
Layang Deles - Decapterus Macrosoma,Layang Deles,Decapterus Macrosoma,DCC,Pelagis Kecil
Layang Ekor Merah - Decapterus Tabl,Layang Ekor Merah,Decapterus Tabl,DCT,Pelagis Kecil
Layang Jepang - Decapterus Maruadsi,Layang Jepang,Decapterus Maruadsi,RSA,Pelagis Kecil
Layaran Kuning - Heniochus Acuminatus,Layaran Kuning,Heniochus Acuminatus,HNM,Ikan Karang
Layur - Trichiurus Savala,Layur,Trichiurus Savala,,Demersal
Layur Hitam - Gempylus Serpens,Layur Hitam,Gempylus Serpens,GES,Ikan Karang
Layur Jogor - Lepturacanthus Savala,Layur Jogor,Lepturacanthus Savala,SVH,Demersal
